################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.3600330036122230E+01 a       477     0    16     1    27
  1.1896098326400377E+01 a       478     0    16     1    28
 -8.9808604985970347E-02 a       479     0    16     1    29
  6.3553965340339742E+00 a       480     0    16     1    30
  1.3152704463444802E+01 a       481     0    17     1     1
 -3.8206302683891797E+00 a       482     0    17     1     2
 -4.5960210421423412E+01 a       483     0    17     1     3
 -8.4490814292816352E-01 a       484     0    17     1     4
  7.7835566435226813E+00 a       485     0    17     1     5
  1.2717768988526656E+01 a       486     0    17     1     6
 -1.6180530486836584E+01 a       487     0    17     1     7
 -4.1449037130754194E+00 a       488     0    17     1     8
  2.2930351165243213E+01 a       489     0    17     1     9
 -1.0270677094400011E+01 a       490     0    17     1    10
 -1.7772088417878113E+01 a       491     0    17     1    11
 -9.7505248718796906E+00 a       492     0    17     1    12
  2.2471126840831023E+01 a       493     0    17     1    13
 -8.6080302322243014E+00 a       494     0    17     1    14
 -1.7566983533447992E+01 a       495     0    17     1    15
  4.7294505294203217E+00 a       496     0    17     1    16
  2.6573304790193205E+01 a       497     0    17     1    17
  1.3737086018027171E+01 a       498     0    17     1    18
  1.4222315780140727E+01 a       499     0    17     1    19
  2.1136914020061135E+00 a       500     0    17     1    20
  2.4153593876997896E+01 a       501     0    17     1    21
  1.2419895067643868E+01 a       502     0    17     1    22
  2.6867413353380091E+01 a       503     0    17     1    23
  3.2769427832238267E+00 a       504     0    17     1    24
 -1.1392768585662634E+00 a       505     0    17     1    25
  1.1672365811662578E+01 a       506     0    17     1    26
